|학년|학기|교과이론|교과이론명|SCORE||"학습완료
실패0 완료1"|"정답(-1)
실수 (1) , 공란(0)"
|||||맞음|틀림||
STEP1|7|1|077|곱셈 기호, 나눗셈 기호의 생략|3|3|1|-1
|7|1|080|문자를 사용한 식 - 속력, 농도|4|4||0
||||||||0
||||||||0
||||||||1
STEP2|7|1|077|곱셈 기호, 나눗셈 기호의 생략|3|3|1|1
|7|1|080|문자를 사용한 식 - 속력, 농도|4|4||-1
||||||||0
||||||||0
||||||||0
