|학년|학기|교과이론|교과이론명|SCORE||"학습완료
실패0 완료1"|"정답(-1)
실수 (1) , 공란(0)"
|||||맞음|틀림||
STEP1|7|1|002|수를 거듭제곱으로 나타내기|1|1|1|-1
||||||||1
||||||||0
||||||||0
||||||||0
STEP2|7|1|002|수를 거듭제곱으로 나타내기|1|1|1|-1
|8|1|352|(a^m)*(a^n)=a^(m+n)|3|3||1
|8|1|353|(a^m)^n=a^(mn)|3|3||0
||||||||0
||||||||0
STEP3|7|1|002|수를 거듭제곱으로 나타내기|1|1|1|0
|7|1|105|일차방|1|1||0
|8|1|352|(a^m)*(a^n)=a^(m+n)|3|3||0
|8|1|353|(a^m)^n=a^(mn)|3|3||1
||||||||-1
STEP4|7|1|002|수를 거듭제곱으로 나타내기|1|1|1|0
|7|1|105|일차방|1|1||1
|8|1|352|(a^m)*(a^n)=a^(m+n)|3|3||-1
|8|1|353|(a^m)^n=a^(mn)|3|3||0
|8|1|356|지수법칙 종합|4|4||0
