|학년|학기|교과이론|교과이론명|SCORE||"학습완료
실패0 완료1"|"정답(-1)
실수 (1) , 공란(0)"
|||||맞음|틀림||
STEP1|7|1|130|좌표평면 위 점의 좌표|2|2|1|-1
||||||||1
||||||||0
||||||||0
||||||||0
STEP2|7|1|130|좌표평면 위 점의 좌표|2|2|1|0
|7|1|131|좌표평면 위 도형의 넓이(눈금)|3|3||1
||||||||-1
||||||||0
||||||||0
