|학년|학기|교과이론|교과이론명|SCORE||"학습완료
실패0 완료1"|"정답(-1)
실수 (1) , 공란(0)"
|||||맞음|틀림||
STEP1|7|1|117|일차방 활용 - 예금|7|7|1|-1
||||||||0
||||||||1
||||||||0
||||||||0
STEP2|7|1|117|일차방 활용 - 예금|7|7|1|0
|8|1|385|일차부등식 활용 - 예금액|5|5||0
||||||||1
||||||||-1
||||||||0
