|학년|학기|교과이론|교과이론명|SCORE||"학습완료
실패0 완료1"|"정답(-1)
실수 (1) , 공란(0)"
|||||맞음|틀림||
STEP1|7|1|079|문자를 사용한 식 - 도형|4|4|1|-1
|8|1|371|도형에서 식의 계산|6|6||0
||||||||0
||||||||0
||||||||1
STEP2|7|1|079|문자를 사용한 식 - 도형|4|4|1|0
|8|1|371|도형에서 식의 계산|6|6||0
|8|1|376|일차부등식|1|1||1
|8|1|388|일차부등식 활용 - 도형|6|6||-1
||||||||0
STEP3|7|1|079|문자를 사용한 식 - 도형|4|4|1|0
|8|1|371|도형에서 식의 계산|6|6||0
|8|1|376|일차부등식|1|1||1
|8|1|388|일차부등식 활용 - 도형|6|6||-1
||||||||0
