||||||||
|학년|학기|교과이론|교과이론명|SCORE||"학습완료
실패0 완료1"|"정답(-1)
실수 (1) , 공란(0)"
|||||맞음|틀림||
STEP1|9|1|707|인수분해 공식 종합, 두 다항식 공통 인수|6|6|1|0
|9|1|729|공통부분이 있는 이차방정식 풀이|6|6||-1
||||||||0
||||||||0
||||||||1
STEP2|8|1|393|미지수가 2개 일차방의 해|1|1|1|0
||||||||-1
||||||||0
||||||||1
||||||||0
STEP3|8|1|393|미지수가 2개 일차방의 해|1|1|1|0
|9|1|707|인수분해 공식 종합, 두 다항식 공통 인수|6|6||-1
|9|1|729|공통부분이 있는 이차방정식 풀이|6|6||0
||||||||0
||||||||1
