|학년|학기|교과이론|교과이론명|SCORE||"학습완료
실패0 완료1"|"정답(-1)
실수 (1) , 공란(0)"
|||||맞음|틀림||
STEP1|7|1|131|좌표평면 위 도형의 넓이(눈금)|3|3|1|0
||||||||0
||||||||0
||||||||1
||||||||-1
STEP2|7|1|131|좌표평면 위 도형의 넓이(눈금)|3|3|1|0
|7|1|149|y=a/x 그래프 위의 점|3|3||-1
|7|1|151|y=a/x 그래프와 도형의 넓이|8|8||1
||||||||0
||||||||0
