|학년|학기|교과이론|교과이론명|SCORE||"학습완료
실패0 완료1"|"정답(-1)
실수 (1) , 공란(0)"
|||||맞음|틀림||
STEP1|9|1|701|공통인수를 이용한 인수분해|5|5|1|-1
|9|1|712|항이 4개인 식의 인수분해|9|9||0
||||||||1
||||||||0
||||||||0
STEP2|9|1|701|공통인수를 이용한 인수분해|5|5|1|1
|9|1|702|a^2+-2ab+b^2=(a+-b)^2|3|3||0
|9|1|713|항이 5개 이상인 복잡한 식의 인수분해|10|10||-1
||||||||0
||||||||0
STEP3|9|1|701|공통인수를 이용한 인수분해|5|5|1|0
|9|1|702|a^2+-2ab+b^2=(a+-b)^2|3|3||0
|9|1|712|항이 4개인 식의 인수분해|9|9||0
|9|1|713|항이 5개 이상인 복잡한 식의 인수분해|10|10||1
||||||||-1
